date,sp500,ffr,mp_exp,btc,btc_ret
2014-09-21,2010.4,0.09,-0.0060728744939271,398.8210144042969,
2014-09-28,1982.85,0.09,0.0328467153284671,377.1809997558594,-0.055787553104948984
2014-10-05,1967.9,0.084,0.04,320.510009765625,-0.16281167009642683
2014-10-12,1906.13,0.088,0.0367647058823529,378.54901123046875,0.16643204496296704
2014-10-19,1886.76,0.09,0.0369318181818181,389.5459899902344,0.02863638021591175
2014-10-26,1964.58,0.09,-0.0034129692832764,354.7040100097656,-0.093698265698273
2014-11-02,2018.05,0.086,0.0173160173160173,325.8919982910156,-0.08471763418062661
2014-11-09,2031.92,0.092,0.0290237467018469,363.2640075683594,0.10856383060076791
2014-11-16,2039.82,0.09,-0.0079365079365079,387.8819885253906,0.06557127658241502
2014-11-23,2063.5,0.102,-0.0094786729857819,367.572998046875,-0.053779207005306695
2014-11-30,2067.56,0.095,0.003003003003003,378.0469970703125,0.02809658569608864
2014-12-07,2075.37,0.122,-0.0073170731707317,375.0950012207031,-0.00783918829033059
2014-12-14,2002.33,0.12,-0.0026737967914438,351.6319885253906,-0.0645941889232402
2014-12-21,2070.65,0.124,0.0148698884758364,320.8429870605469,-0.0916332749709019
2014-12-28,2088.77,0.13,-0.0393258426966292,317.239013671875,-0.01129639046153219
2015-01-04,2058.2,0.11,-0.0298507462686567,264.19500732421875,-0.18296798154383875
2015-01-11,2044.81,0.12,-0.0049751243781094,265.6600036621094,0.0055298149141611574
2015-01-18,2019.42,0.122,0.0028735632183908,210.33900451660156,-0.23349677314323536
2015-01-25,2051.82,0.12,0.0615835777126099,253.71800231933594,0.18750288682460603
2015-02-01,1994.99,0.104,0.0067720090293453,226.9720001220703,-0.1113967607770654
2015-02-08,2055.47,0.116,-0.0209580838323353,223.41200256347656,-0.01580905041805103
2015-02-15,2096.99,0.12,0.0,234.8249969482422,0.04982293090913803
2015-02-22,2110.3,0.12,0.0055096418732782,235.9770050048828,0.004893820973688179
2015-03-01,2104.5,0.1,0.0026315789473684,260.2019958496094,0.09772387263491122
2015-03-08,2071.26,0.116,-0.01187648456057,274.35400390625,0.052961021059558355
2015-03-15,2053.4,0.114,0.0054249547920434,286.39300537109375,0.04294575464843575
2015-03-22,2108.1,0.118,0.0263671875,267.9599914550781,-0.06652732845002074
2015-03-29,2061.02,0.116,-0.0012853470437017,242.71299743652344,-0.09895801894410905
2015-04-05,2066.96,0.108,0.0068493150684931,260.5979919433594,0.07109929434107709
2015-04-12,2102.06,0.122,-0.0014326647564469,236.1529998779297,-0.0984990596137525
2015-04-19,2081.18,0.13,0.0027548209366391,222.60000610351562,-0.05910343327383405
2015-04-26,2117.69,0.13,-0.0070546737213403,219.42999267578125,-0.014343224591257808
2015-05-03,2108.29,0.12,0.0011820330969267,240.35800170898438,0.09109624401982153
2015-05-10,2116.1,0.13,0.0102639296187683,240.29600524902344,-0.00025796710068881623
2015-05-17,2122.73,0.13,-0.0066115702479338,236.802001953125,-0.01464716142047262
2015-05-24,2126.06,0.124,0.00418410041841,240.9530029296875,0.01737754871544528
2015-05-31,2107.39,0.11,0.0031298904538341,230.19000244140625,-0.04569684041976796
2015-06-07,2092.83,0.126,0.0039630118890356,222.88099670410156,-0.032267083510695294
2015-06-14,2094.11,0.13,-0.0032626427406199,233.54299926757812,0.046728229241073116
2015-06-21,2109.99,0.136,-0.0135970333745364,243.94400024414062,0.04357248056214047
2015-06-28,2101.49,0.13,-0.0095238095238095,249.01100158691406,0.020558386812390417
2015-07-05,2076.78,0.122,0.0066006600660066,271.9129943847656,0.08798506297146869
2015-07-12,2076.62,0.13,0.0028694404591104,310.86700439453125,0.1338830405728677
2015-07-19,2126.64,0.132,-0.0053191489361702,273.614013671875,-0.12764677811531122
2015-07-26,2079.65,0.132,-0.0136363636363636,292.6860046386719,0.06738197386166878
2015-08-02,2103.84,0.128,-0.0045454545454545,282.614013671875,-0.035018320473631626
2015-08-09,2077.57,0.14,-0.0128440366972477,265.0830078125,-0.06403904341965383
2015-08-16,2091.54,0.146,-0.032258064516129,258.5069885253906,-0.025120285468530845
2015-08-23,1970.89,0.15,-0.0141287284144427,228.16900634765625,-0.12483611822677876
2015-08-30,1988.87,0.144,0.0086206896551724,228.76100158691406,0.002591187097418235
2015-09-06,1921.22,0.128,-0.0075642965204236,239.83999633789062,0.04729422171716191
2015-09-13,1961.05,0.14,0.0081135902636916,230.51199340820312,-0.03966912586253102
2015-09-20,1958.03,0.14,0.0011764705882352,231.21200561523438,0.00303216962878583
2015-09-27,1931.34,0.138,-0.0054945054945054,232.7570037841797,0.006659944299393317
2015-10-04,1951.36,0.118,-0.0076335877862595,238.25900268554688,0.023363321387374292
2015-10-11,2014.89,0.13,-0.0266666666666666,247.0500030517578,0.03623242910621194
2015-10-18,2033.11,0.13,0.003683241252302,261.64300537109375,0.05739024204772836
2015-10-25,2075.15,0.126,0.0252100840336134,283.67999267578125,0.08086581681502114
2015-11-01,2079.36,0.11,-0.0059970014992503,325.4309997558594,0.1373036403530259
2015-11-08,2099.2,0.12,-0.0444810543657331,373.3680114746094,0.13741410232530793
2015-11-15,2023.04,0.12,-0.0103270223752151,320.1659851074219,-0.15372499441131016
2015-11-22,2089.17,0.124,-0.0017605633802816,324.5360107421875,0.013556938224132509
2015-11-29,2090.11,0.12,0.0111111111111111,371.29400634765625,0.1345977157102416
2015-12-06,2091.69,0.12,-0.0277777777777777,388.7829895019531,0.04602710163948309
2015-12-13,2012.37,0.136,-0.0049916805324459,433.7550048828125,0.10945854948104206
2015-12-20,2005.55,0.238,-0.0231053604436229,442.68499755859375,0.020378580829092385
2015-12-27,2060.99,0.36,0.0092879256965944,422.822998046875,-0.04590480351792969
2016-01-03,2043.94,0.3175,0.0,430.010986328125,0.01685711082112462
2016-01-10,1922.03,0.36,-0.0143626570915619,447.9909973144531,0.04096237897132049
2016-01-17,1880.33,0.36,-0.0233009708737864,382.29901123046875,-0.15857008260454464
2016-01-24,1906.9,0.37,0.0234541577825159,402.97100830078125,0.05266156533031463
2016-01-31,1940.24,0.362,0.015625,368.7669982910156,-0.08869961600662979
2016-02-07,1880.05,0.38,0.0304878048780487,376.6199951171875,0.0210717049406961
2016-02-14,1864.78,0.38,-0.0073529411764705,407.2300109863281,0.07814145477837986
2016-02-21,1917.78,0.3775,0.0121107266435986,438.7980041503906,0.07466101659304147
2016-02-28,1948.05,0.376,-0.0181818181818181,433.5039978027344,-0.012138161634382527
2016-03-06,1999.99,0.35,0.0084175084175084,407.7070007324219,-0.06135223736808548
2016-03-13,2022.19,0.36,0.0018181818181818,414.06500244140625,0.015474191266831028
2016-03-20,2049.58,0.368,0.0239680426098535,413.7550048828125,-0.0007489492168382128
2016-03-27,2035.94,0.37,-0.0255474452554744,426.7650146484375,0.030959521754458486
2016-04-03,2072.78,0.346,-0.0100143061516452,420.90399169921875,-0.013828785311025271
2016-04-10,2047.6,0.37,-0.0170731707317073,421.5639953613281,0.0015668341284662546
2016-04-17,2080.73,0.37,-0.0341614906832298,427.39898681640625,0.01374637872409945
2016-04-24,2091.58,0.37,0.0216450216450216,458.55499267578125,0.07036225260182238
2016-05-01,2065.3,0.356,-0.0465631929046563,451.875,-0.014674631996408394
2016-05-08,2057.14,0.37,-0.0143540669856459,458.5480041503906,0.014659391559042056
2016-05-15,2046.61,0.37,-0.0207468879668049,457.5679931640625,-0.0021394918613539815
2016-05-22,2052.32,0.37,-0.0901287553648068,439.322998046875,-0.04069059142433051
2016-05-29,2099.06,0.37,-0.0455311973018549,526.2329711914062,0.1805091245054724
2016-06-05,2099.13,0.35,-0.069023569023569,574.9769897460938,0.08858599647187582
2016-06-12,2096.07,0.37,-0.0186335403726708,672.7839965820312,0.15709429991904766
2016-06-19,2071.22,0.374,-0.0170357751277683,763.781005859375,0.1268567844488775
2016-06-26,2037.41,0.386,0.0017667844522968,629.3670043945312,-0.193566547179997
2016-07-03,2102.95,0.388,0.0127118644067796,658.6640014648438,0.045498983920810865
2016-07-10,2129.9,0.4,0.0017889087656529,649.3599853515625,-0.014226303377823157
2016-07-17,2161.74,0.4,0.0125448028673835,679.458984375,0.04530963039569169
2016-07-24,2175.03,0.4,0.0047846889952153,661.2849731445312,-0.027111999072904958
2016-07-31,2173.6,0.38,0.0306122448979591,624.6810302734375,-0.056943703317219985
2016-08-07,2182.87,0.4,0.0277777777777777,592.6900024414062,-0.05256966707152255
2016-08-14,2184.05,0.4,-0.0231481481481481,570.4730224609375,-0.038205620180260524
2016-08-21,2183.87,0.4,-0.0619834710743801,581.3079833984375,0.01881482766220266
2016-08-28,2169.04,0.4,-0.0391566265060241,573.9119873046875,-0.012804655969456569
2016-09-04,2179.98,0.38,-0.0754716981132075,608.6339721679688,0.058741003754350984
2016-09-11,2127.81,0.4,-0.0571428571428571,606.718994140625,-0.0031513143345156536
2016-09-18,2139.16,0.4,-0.0049261083743842,609.8740234375,0.00518667512344706
2016-09-25,2164.69,0.4,0.0049279757391963,600.8259887695312,-0.014947060430126946
2016-10-02,2168.27,0.378,-0.0701754385964912,610.8920288085938,0.016614874840914062
2016-10-09,2153.74,0.4,-0.015625,616.7520141601562,0.009546789873223105
2016-10-16,2132.98,0.41,-0.0224719101123595,641.6309814453125,0.03954632200684216
2016-10-23,2141.16,0.41,0.0236220472440944,657.0709838867188,0.023778711918668982
2016-10-30,2126.41,0.41,-0.0212765957446808,701.864013671875,0.06594761744896793
2016-11-06,2085.18,0.39,-0.0391061452513966,711.52197265625,0.013666626669281534
2016-11-13,2164.45,0.41,-0.0119760479041916,702.031005859375,-0.013428728270947765
2016-11-20,2181.9,0.41,-0.0303030303030303,731.0260009765625,0.040471457227313934
2016-11-27,2213.35,0.41,-0.0898876404494382,732.0349731445312,0.0013792621712536146
2016-12-04,2191.95,0.39,-0.06,773.8720092773438,0.055578206885186
2016-12-11,2259.53,0.41,-0.0704225352112676,769.7310180664062,-0.005365370592750551
2016-12-18,2258.07,0.51,-0.0501930501930501,790.530029296875,0.026662517021054377
2016-12-25,2263.79,0.66,0.0,896.1829833984375,0.1254409710139015
2017-01-01,2238.83,0.6325,0.0,998.3250122070312,0.10793427216145979
2017-01-08,2276.98,0.66,-0.0620689655172413,911.198974609375,-0.09131760001531308
2017-01-15,2274.64,0.66,-0.0714285714285714,821.7979736328125,-0.10326669613395989
2017-01-22,2271.31,0.66,-0.0192307692307692,924.6729736328125,0.11794554230369947
2017-01-29,2294.69,0.66,0.0,919.4959716796875,-0.00561446993835979
2017-02-05,2297.42,0.64,-0.0348837209302325,1027.3399658203125,0.1109025201687075
2017-02-12,2316.1,0.66,-0.0144927536231884,999.1810302734375,-0.027792209496820597
2017-02-19,2351.16,0.66,-0.0795454545454545,1047.8699951171875,0.047578833008735444
2017-02-26,2367.34,0.66,-0.0843373493975903,1165.199951171875,0.10613317645452547
2017-03-05,2383.12,0.642,-0.21,1267.1199951171875,0.08385390072077303
